timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
277587168,277586525,71315384,38.97361176678716,-76.9219165064937,-2.153877,1.4573315,0.5495372,0.036267716,-0.014497595,-0.0046971543,0.0045004925,-0.013599726,0.004877825,0.002814264,0.00042390026,-0.0013321475,0.0012392444,-0.0017349881,-0.4498179,0.19078152,0.5282236,-0.2478839,12.486519,0.1,0.09702122,0.020554356,0.074077524,0.026259184,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
277685882,277680344,71315384,38.97361176678716,-76.9219165064937,-2.1554842,1.4552792,0.5497393,0.036267716,-0.014497595,-0.0046971543,-0.0009840336,-0.011290445,0.005072659,0.0030955698,0.00042390026,-0.0013321475,0.0012392444,-0.85395664,-0.9605217,0.04184615,0.52818674,-0.2478839,12.486519,0.1,0.09642297,0.019967519,0.07392757,0.02594145,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
277842696,277840833,71315384,38.97361176678716,-76.9219165064937,-2.1578937,1.45205,0.55019855,0.036267716,-0.014497595,-0.0046971543,0.0070560803,-0.00905731,0.006340916,0.004585759,0.00042390026,-0.0013321475,0.0012392444,0.7570216,0.06384007,0.1872297,0.5279919,-0.2478839,12.486519,0.1,0.09618555,0.01958313,0.074411094,0.02637833,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
277930564,277929743,71315384,38.97361176678716,-76.9219165064937,-2.1592848,1.4506339,0.55045736,0.036267716,-0.014497595,-0.0046971543,0.003671592,-0.0048057497,0.0042445245,0.0026531545,0.00042390026,-0.0013321475,0.0012392444,0.2564977,0.6201496,0.007950568,0.52763784,-0.2478839,12.486519,0.1,0.095393136,0.019023495,0.07430403,0.025981555,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
277982225,277981572,71315384,38.97361176678716,-76.9219165064937,-2.1606414,1.4491599,0.5507356,0.036267716,-0.014497595,-0.0046971543,0.0017596461,-0.008751158,0.0081614535,0.006631929,0.00042390026,-0.0013321475,0.0012392444,0.12156732,0.051764384,1.3895319,0.52755725,-0.2478839,12.486519,0.1,0.09575627,0.019143017,0.07454457,0.02682821,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
278088359,278084067,71315384,38.97361176678716,-76.9219165064937,-2.160978,1.4478602,0.5514588,0.036267716,-0.014497595,-0.0046971543,0.006949161,-0.0077871336,0.0074129333,0.0058014034,0.00042390026,-0.0013321475,0.0012392444,0.853139,1.2059802,0.72937995,0.52737254,-0.2478839,12.486519,0.1,0.097101346,0.019396283,0.07507207,0.027668126,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
278184717,278184102,71315384,38.97361176678716,-76.9219165064937,-2.1617541,1.446392,0.5521422,0.036267716,-0.014497595,-0.0046971543,0.0042041526,-0.0037264372,0.007432945,0.0057708006,0.00042390026,-0.0013321475,0.0012392444,0.9820768,-0.13552995,-0.35222915,0.52738965,-0.2478839,12.486519,0.1,0.09581041,0.01903219,0.07384578,0.026801083,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
278352685,278352004,71315384,38.97361176678716,-76.9219165064937,-2.1639812,1.4436773,0.5529329,0.036267716,-0.014497595,-0.0046971543,0.00021021932,-0.0120737925,0.0035869123,0.0018661891,0.00042390026,-0.0013321475,0.0012392444,-0.258815,-0.84483457,-0.81804186,0.5270612,-0.2478839,12.486519,0.1,0.09461357,0.018626811,0.07293614,0.026120538,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
278430341,278426057,71315384,38.97361176678716,-76.9219165064937,-2.1657982,1.4420066,0.5531578,0.036267716,-0.014497595,-0.0046971543,0.00425336,-0.011789453,0.0059673535,0.0041895714,0.00042390026,-0.0013321475,0.0012392444,0.40875214,-0.93202597,0.046313588,0.52709186,-0.2478839,12.486519,0.1,0.09471971,0.018516812,0.073480204,0.02612671,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
278513295,278512502,71315384,38.97361176678716,-76.9219165064937,-2.1666718,1.4409941,0.55339223,0.036267716,-0.014497595,-0.0046971543,0.002398208,-0.008510489,0.0051532215,0.0033579778,0.00042390026,-0.0013321475,0.0012392444,-0.24333219,-0.21042752,-0.4304008,0.52691734,-0.2478839,12.486519,0.1,0.094867416,0.018437337,0.073432066,0.026152847,inf,inf,inf,inf,1,1,1,1,4,2,3,3,4,0,1,1,0,0,0
