timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
288409111,288288392,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09261764,0.09261798,0.010758584,0.26640365,0.26640368,0.2540529,0.0,12.250465,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035392,0.0,0.0,0.0,1.001427,1.0014371,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288423678,288303193,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09261764,0.09261798,0.010758584,0.26640365,0.26640368,0.2540529,0.0,12.250465,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035392,0.0,0.0,0.0,1.0014207,1.0014307,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288432387,288316778,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09261764,0.09261798,0.010758584,0.26640365,0.26640368,0.2540529,0.0,12.250465,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035392,0.0,0.0,0.0,1.0014244,1.0014344,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
288441177,288331595,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09264982,0.09265016,0.01075907,0.26641047,0.2664105,0.25419345,0.0,12.250465,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035355,0.0,0.0,0.0,1.0014281,1.001438,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288445881,288341484,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09264982,0.09265016,0.01075907,0.26641047,0.2664105,0.25419345,0.0,12.250465,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035355,0.0,0.0,0.0,1.0014215,1.0014313,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288454786,288356303,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09263646,0.092636794,0.010741649,0.266199,0.26619902,0.25432485,0.0,12.250465,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035355,0.0,0.0,0.0,1.0014251,1.0014353,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288456023,288374820,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09263646,0.092636794,0.010741649,0.266199,0.26619902,0.25432485,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035355,0.0,0.0,0.0,1.0014186,1.0014286,1.0093608,0.0,0.0,0.0,0.0,0.0,0.0
288460927,288379760,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09261985,0.09262018,0.010726771,0.26600713,0.26600716,0.25445285,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035355,0.0,0.0,0.0,1.0014223,1.0014323,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288471857,288384684,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09261985,0.09262018,0.010726771,0.26600713,0.26600716,0.25445285,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035355,0.0,0.0,0.0,1.0014158,1.0014257,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
288485475,288399483,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09261985,0.09262018,0.010726771,0.26600713,0.26600716,0.25445285,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353385,0.0,0.0,0.0,1.0014195,1.0014294,1.0093608,0.0,0.0,0.0,0.0,0.0,0.0
288495243,288404454,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09261985,0.09262018,0.010726771,0.26600713,0.26600716,0.25445285,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353385,0.0,0.0,0.0,1.0014231,1.0014331,1.009361,0.0,0.0,0.0,0.0,0.0,0.0
288510342,288421722,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09266767,0.09266801,0.010750018,0.26627088,0.26627088,0.25458905,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353385,0.0,0.0,0.0,1.0014269,1.001437,1.0093611,0.0,0.0,0.0,0.0,0.0,0.0
288521181,288431599,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09266767,0.09266801,0.010750018,0.26627088,0.26627088,0.25458905,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353385,0.0,0.0,0.0,1.0014203,1.0014303,1.0093607,0.0,0.0,0.0,0.0,0.0,0.0
288534781,288440258,0.09263985,0.092640206,0.20324358,0.49861497,0.498615,1.1670855,0.09266767,0.09266801,0.010750018,0.26627088,0.26627088,0.25458905,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353385,0.0,0.0,0.0,1.0014238,1.001434,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
288544754,288445180,0.092662424,0.09266277,0.2032522,0.4971958,0.49719584,1.1645541,0.09266767,0.09266801,0.010750018,0.26627088,0.26627088,0.25458905,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353385,0.0,0.0,0.0,1.0014176,1.0014277,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
288554799,288450118,0.092662424,0.09266277,0.2032522,0.4971958,0.49719584,1.1645541,0.09260388,0.09260422,0.01076757,0.26643655,0.26643658,0.2547185,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353385,0.0,0.0,0.0,1.0014212,1.0014311,1.0093607,0.0,0.0,0.0,0.0,0.0,0.0
288569342,288455119,0.092662424,0.09266277,0.2032522,0.4971958,0.49719584,1.1645541,0.09260388,0.09260422,0.01076757,0.26643655,0.26643658,0.2547185,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353385,0.0,0.0,0.0,1.0014151,1.001425,1.0093607,0.0,0.0,0.0,0.0,0.0,0.0
288579211,288459996,0.092662424,0.09266277,0.2032522,0.4971958,0.49719584,1.1645541,0.09260388,0.09260422,0.01076757,0.26643655,0.26643658,0.2547185,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.090353385,0.0,0.0,0.0,1.0014188,1.0014288,1.0093607,0.0,0.0,0.0,0.0,0.0,0.0
288585580,288471110,0.092662424,0.09266277,0.2032522,0.4971958,0.49719584,1.1645541,0.09260388,0.09260422,0.01076757,0.26643655,0.26643658,0.2547185,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035384,0.0,0.0,0.0,1.0014225,1.0014323,1.0093608,0.0,0.0,0.0,0.0,0.0,0.0
288604099,288484688,0.092662424,0.09266277,0.2032522,0.4971958,0.49719584,1.1645541,0.092632614,0.09263297,0.01078399,0.26664802,0.26664805,0.25484326,0.0,12.2504835,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.09035384,0.0,0.0,0.0,1.0014257,1.001436,1.0093609,0.0,0.0,0.0,0.0,0.0,0.0
