timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
349377791,-0.21567622,0.012540944,1.57079,0.0,0.7025104,-0.080512196,-0.07169551,0.70346045,0.0,0.0,-0.41755116,0,0
349425900,-0.23189,0.00041840842,1.57079,0.0,0.7023443,-0.08194911,-0.08165472,0.70237404,0.0,0.0,-0.4210792,0,0
349478889,-0.23706609,0.0072725266,1.57079,0.0,0.7018386,-0.08617227,-0.08106538,0.7024424,0.0,0.0,-0.41774684,0,0
349548236,-0.26017204,0.0056745326,1.57079,0.0,0.7008714,-0.09371471,-0.08973553,0.70138747,0.0,0.0,-0.42807662,0,0
349607536,-0.24701193,-0.004642245,1.57079,0.0,0.70192313,-0.08548131,-0.08873832,0.7015143,0.0,0.0,-0.42767158,0,0
349661766,-0.2635522,0.0077239103,1.57079,0.0,0.7006144,-0.09561706,-0.09020221,0.70132756,0.0,0.0,-0.44161668,0,0
349711073,-0.2446289,0.0013787034,1.57079,0.0,0.7017665,-0.08675793,-0.08578978,0.701881,0.0,0.0,-0.43761846,0,0
349769012,-0.2304165,0.013045983,1.57079,0.0,0.70187634,-0.0858648,-0.07670061,0.7029323,0.0,0.0,-0.43227032,0,0
349798798,-0.25598425,0.012860439,1.57079,0.0,0.7007301,-0.09476522,-0.0857454,0.7018864,0.0,0.0,-0.44146472,0,0
349849507,-0.2373144,0.012935495,1.57079,0.0,0.7015809,-0.08824627,-0.07916335,0.70265925,0.0,0.0,-0.44231257,0,0
349893702,-0.22432578,0.0100515215,1.57079,0.0,0.7022591,-0.08267559,-0.075612284,0.70305026,0.0,0.0,-0.44808733,0,0
349929475,-0.21497566,0.0049632434,1.57079,0.0,0.7028377,-0.07760374,-0.07411399,0.7032097,0.0,0.0,-0.4405614,0,0
349999993,-0.18548802,0.008428754,1.57079,0.0,0.70378786,-0.06845275,-0.062517956,0.7043354,0.0,0.0,-0.43705982,0,0
350056670,-0.17179722,0.005784342,1.57079,0.0,0.7043235,-0.06270229,-0.05862685,0.70466995,0.0,0.0,-0.4362148,0,0
350096109,-0.1454612,0.008722819,1.57079,0.0,0.7050088,-0.054458454,-0.04830649,0.7054526,0.0,0.0,-0.43256852,0,0
350144769,-0.14390899,-0.004365019,1.57079,0.0,0.70538855,-0.049296394,-0.052374627,0.7051622,0.0,0.0,-0.4359589,0,0
350185305,-0.13895154,-0.005929414,1.57079,0.0,0.70554554,-0.04699592,-0.051178213,0.70525,0.0,0.0,-0.43508342,0,0
350228243,-0.12116511,-0.0080572385,1.57079,0.0,0.7059785,-0.0399685,-0.045655094,0.7056291,0.0,0.0,-0.4371068,0,0
350282931,-0.12278193,-0.006278039,1.57079,0.0,0.70590967,-0.041167196,-0.0455978,0.70563275,0.0,0.0,-0.43724737,0,0
350325761,-0.10098009,-0.01172938,1.57079,0.0,0.70640504,-0.031544544,-0.03982763,0.705982,0.0,0.0,-0.4273973,0,0
350388725,-0.088594206,-0.010804668,1.57079,0.0,0.7065742,-0.027495928,-0.035128254,0.7062315,0.0,0.0,-0.42637247,0,0
350436865,-0.07640159,0.0010268891,1.57079,0.0,0.70657915,-0.027368344,-0.026642583,0.70660245,0.0,0.0,-0.42606542,0,0
350506016,-0.05121962,0.006070534,1.57079,0.0,0.70681894,-0.020252408,-0.015961194,0.7069243,0.0,0.0,-0.42195672,0,0
350611224,-0.0350988,0.00455479,1.57079,0.0,0.70697,-0.014018776,-0.010798474,0.70702213,0.0,0.0,-0.42365915,0,0
350665283,-0.015830323,0.010201354,1.57079,0.0,0.7070491,-0.009203334,-0.00199011,0.70710176,0.0,0.0,-0.41364813,0,0
350707342,-0.010651016,0.02418321,1.57079,0.0,0.70700175,-0.0123151215,0.0047843563,0.7070884,0.0,0.0,-0.41592598,0,0
350749207,-0.002729614,0.022961447,1.57079,0.0,0.7070507,-0.009082888,0.007152939,0.7070684,0.0,0.0,-0.42289737,0,0
350782759,0.006130935,0.023903362,1.57079,0.0,0.7070811,-0.0062833857,0.010618348,0.7070248,0.0,0.0,-0.41773608,0,0
350817314,0.015470882,0.027680472,1.57079,0.0,0.7070958,-0.0043166657,0.015255136,0.70694,0.0,0.0,-0.41651267,0,0
350849343,0.010693182,0.025597392,1.57079,0.0,0.70708936,-0.0052693426,0.012829967,0.7069882,0.0,0.0,-0.42484707,0,0
350898590,0.02140843,0.03231751,1.57079,0.0,0.7070985,-0.0038568631,0.018992716,0.70684946,0.0,0.0,-0.42648926,0,0
350938142,0.031417917,0.027493605,1.57079,0.0,0.7071076,0.00138752,0.020825353,0.7067979,0.0,0.0,-0.41661867,0,0
350972785,0.027288137,0.032077935,1.57079,0.0,0.70710695,-0.0016933809,0.020986,0.7067931,0.0,0.0,-0.4239364,0,0
351065514,0.040240183,0.022848036,1.57079,0.0,0.7070823,0.006149045,0.022301333,0.7067528,0.0,0.0,-0.41467288,0,0
351115924,0.04140982,0.023646962,1.57079,0.0,0.70708114,0.006280108,0.02299697,0.7067304,0.0,0.0,-0.41702986,0,0
351180305,0.05030645,0.03516522,1.57079,0.0,0.70708877,0.0053532757,0.03020958,0.7064589,0.0,0.0,-0.41434023,0,0
351199919,0.05836207,0.025694322,1.57079,0.0,0.7070147,0.011549374,0.029709639,0.7064802,0.0,0.0,-0.41185486,0,0
351240558,0.05856829,0.035514712,1.57079,0.0,0.707062,0.008150595,0.03325107,0.7063223,0.0,0.0,-0.41177624,0,0
351285026,0.06356427,0.03350842,1.57079,0.0,0.70702916,0.010626055,0.034306873,0.70627177,0.0,0.0,-0.41741452,0,0
