timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
278306647,278306298,0.9634068,0.035842557,-0.047455363,0.26136312,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278372236,278371736,0.9634576,0.035817325,-0.047473297,0.26117602,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278421468,278421150,0.9634427,0.035732392,-0.04742742,0.26125112,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278464841,278464432,0.9634407,0.035767473,-0.047405712,0.26125744,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278521466,278517421,0.9634657,0.035657518,-0.04739523,0.261182,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278565971,278565584,0.9634668,0.035837397,-0.04758283,0.26111922,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278619070,278618675,0.96347857,0.035762444,-0.04751281,0.26109904,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278666008,278661875,0.9634802,0.035824213,-0.04743597,0.2610984,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278720254,278719923,0.9635104,0.035743233,-0.04732819,0.26101768,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278779568,278779165,0.963517,0.035742536,-0.047393493,0.26098168,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278824483,278823623,0.9635221,0.035721064,-0.04731183,0.2609805,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278878400,278876689,0.96352684,0.03574607,-0.047579963,0.26091078,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278926422,278926102,0.96357036,0.035631854,-0.04723056,0.26082945,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
278966051,278965588,0.96358335,0.035586853,-0.04731975,0.2607711,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279017819,279017458,0.96355885,0.035850503,-0.04740451,0.26081002,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279065909,279061899,0.96356344,0.03575174,-0.04742515,0.26080298,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279125304,279124870,0.96359956,0.03571547,-0.04729269,0.2606984,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279174747,279174248,0.9635906,0.035677116,-0.047382727,0.26072064,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279214888,279213790,0.96360373,0.03574948,-0.04730142,0.26067686,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279273339,279273013,0.96359605,0.03569179,-0.04721705,0.2607286,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279325259,279324891,0.96362954,0.035725765,-0.047349654,0.26057628,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279375836,279371809,0.9636292,0.035690084,-0.047151286,0.26061797,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279425262,279423644,0.9636324,0.035818223,-0.047303595,0.2605609,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279469798,279469349,0.96362686,0.035775993,-0.047182027,0.2606096,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279526682,279522432,0.963666,0.035625312,-0.047193997,0.26048318,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279579577,279579231,0.9636454,0.03581991,-0.04712801,0.26054457,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279624134,279623673,0.96366245,0.035776682,-0.04718256,0.26047787,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279656185,279655829,0.96366644,0.035727065,-0.046997104,0.26050338,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279717865,279717501,0.96367365,0.035887163,-0.046952453,0.2604625,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279778380,279777989,0.9636717,0.03576011,-0.04693633,0.2604903,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279827710,279822449,0.96369326,0.035639625,-0.04713252,0.26039135,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279861075,279860719,0.96368855,0.03567273,-0.047087815,0.2604125,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279929566,279928631,0.9637198,0.03561986,-0.04701512,0.2603172,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
279975899,279975545,0.9637004,0.03555804,-0.04704515,0.26039165,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280014173,280013823,0.9637143,0.03558876,-0.047001857,0.26034397,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280062266,280058267,0.96371,0.035689093,-0.04704603,0.26033834,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280110490,280108986,0.96370244,0.03555422,-0.047045704,0.2603849,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280164814,280164446,0.9637345,0.035752125,-0.04714665,0.26022044,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280215418,280215073,0.9637478,0.03573785,-0.046973996,0.26020458,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280270952,280270604,0.96375364,0.035580393,-0.047012396,0.26019794,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280338824,280334826,0.96376044,0.035687536,-0.047180522,0.26012754,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280373398,280369401,0.96379703,0.035740808,-0.046985842,0.26001966,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280414144,280410138,0.9637983,0.035732877,-0.046971828,0.26001883,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280477165,280473109,0.96376646,0.035740267,-0.047373533,0.2600631,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280522905,280522580,0.9637966,0.03567943,-0.047119517,0.26000556,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280569737,280569403,0.96382415,0.035667192,-0.046958126,0.25993422,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280614223,280613863,0.96381176,0.035564538,-0.047081586,0.25997216,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280652479,280652135,0.9638093,0.035732757,-0.04723116,0.259931,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280727790,280727454,0.9638535,0.035651296,-0.046914432,0.2598357,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280779659,280779299,0.9638403,0.03573816,-0.046947222,0.25986674,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280825341,280824990,0.9638316,0.035653606,-0.046970155,0.25990623,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280871012,280870661,0.96386164,0.035457112,-0.046948418,0.25982594,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280909327,280907702,0.96386516,0.035454255,-0.04675126,0.25984856,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
280961137,280960805,0.9638774,0.0356059,-0.04706486,0.2597261,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281022884,281021289,0.9638822,0.035595328,-0.04702215,0.2597174,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281066117,281065760,0.96387607,0.03560612,-0.046825342,0.2597741,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281117889,281113891,0.9639072,0.035699356,-0.046978302,0.25961798,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281175985,281175629,0.96388835,0.03568522,-0.04700988,0.25968447,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281224076,281220072,0.96392363,0.035549093,-0.047248904,0.2595288,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281274756,281274391,0.9639479,0.03571813,-0.046868622,0.25948414,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281316737,281316382,0.96396726,0.03551484,-0.047060773,0.25940531,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281368544,281364528,0.96394086,0.03564731,-0.04714469,0.25947005,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281416764,281416412,0.963959,0.03547456,-0.047120407,0.25943097,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281463598,281459595,0.9639846,0.035506506,-0.047080297,0.25933835,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281508103,281507746,0.9639506,0.035162397,-0.04691494,0.25954193,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281571063,281570694,0.9639835,0.035687506,-0.04685231,0.25935948,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281645161,281644819,0.9639944,0.035460465,-0.047010075,0.25932103,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281688415,281684300,0.96398824,0.035607483,-0.047095723,0.25930852,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281729110,281723811,0.96399486,0.03559113,-0.046972383,0.2593087,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281769833,281769505,0.9640176,0.035620455,-0.046861146,0.25923985,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281814301,281813938,0.964031,0.035647422,-0.04693403,0.2591732,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281862463,281862078,0.96403974,0.03564172,-0.046810444,0.2591637,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281909358,281908983,0.96404195,0.035146736,-0.046688877,0.2592452,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
281966229,281965804,0.9640433,0.035431042,-0.046807464,0.2591798,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282021787,282021358,0.96406776,0.035775866,-0.04681167,0.25904098,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282075443,282074442,0.9641127,0.035560407,-0.04682006,0.25890145,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282127858,282127533,0.964085,0.035383876,-0.046745006,0.2590428,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282173595,282173221,0.96409833,0.03566163,-0.04678736,0.25894716,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282230385,282228776,0.9640895,0.03547022,-0.046751432,0.25901276,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282274842,282274482,0.964151,0.03554144,-0.0468412,0.25875765,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282309044,282307806,0.9641071,0.035465144,-0.046777982,0.25894344,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282376078,282375695,0.9641475,0.03555757,-0.046792343,0.25877756,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282423631,282422608,0.9641098,0.035761457,-0.04665503,0.2589148,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282472412,282471977,0.96416956,0.035827264,-0.046686888,0.25867715,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282522962,282518912,0.96418,0.03568199,-0.046869423,0.25862557,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282563850,282563358,0.96412945,0.035564102,-0.0466902,0.25886214,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282624218,282623857,0.9641378,0.035305038,-0.046681292,0.25886846,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282663696,282663364,0.96415216,0.035463654,-0.046682093,0.258793,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282721741,282721397,0.9642006,0.03562655,-0.04668069,0.25859004,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282794550,282794229,0.9642142,0.035453234,-0.04674617,0.25855127,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282835323,282834977,0.96423566,0.03541113,-0.04673045,0.25848025,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282869852,282864621,0.9641992,0.0352858,-0.046596833,0.25865746,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282919299,282918941,0.9642387,0.03565069,-0.04680974,0.25842172,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
282973550,282969556,0.9642211,0.03565943,-0.04678777,0.25849006,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283009415,283009089,0.96423477,0.03556808,-0.046600986,0.25848514,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283056429,283055982,0.96425194,0.03553407,-0.04682354,0.2583858,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283125443,283121435,0.9642597,0.035633486,-0.04671211,0.25836325,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283176241,283175752,0.96429557,0.03548679,-0.04661419,0.25826722,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283229154,283225139,0.9642705,0.03521138,-0.046745423,0.25837502,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283279819,283279460,0.9643093,0.0357415,-0.046821304,0.25814328,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283342722,283338729,0.96431965,0.03566981,-0.046596654,0.25815552,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283378578,283378233,0.96433485,0.03558996,-0.046570558,0.2581142,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283426727,283422674,0.9642998,0.035426512,-0.04666758,0.25825012,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283481075,283480704,0.9643615,0.0356002,-0.04640704,0.25804242,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283521829,283521430,0.9643623,0.03543158,-0.046388924,0.2580663,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283565011,283564673,0.964346,0.03534519,-0.0466708,0.258088,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283615228,283614057,0.96439964,0.03548331,-0.046872277,0.25783214,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283669960,283669606,0.9644078,0.03551233,-0.046598848,0.2578469,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283719312,283718998,0.9643776,0.035521,-0.046657767,0.25794792,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283771208,283767142,0.96438724,0.035669554,-0.046779763,0.25786933,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283834175,283833812,0.96442914,0.0353829,-0.046694,0.2577675,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283890956,283886913,0.9644043,0.035770502,-0.046776455,0.2577923,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
283925597,283921474,0.96437746,0.03535731,-0.046894763,0.25792795,0.99232906,-1.1641534e-10,1.1641534e-10,-0.123624876,4
