time,timestamp,position,velocity,acceleration,jerk,yaw,yawspeed
2024/03/05 02:10:21.931371405,1709604621931159,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.939058563,1709604621938844,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.947087208,1709604621946902,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.955862529,1709604621955494,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.963161340,1709604621962971,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.972286070,1709604621971595,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.981767874,1709604621981453,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.989712976,1709604621989196,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:21.997119716,1709604621996574,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.4120457,1709604622003789,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.12101567,1709604622011912,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.20308445,1709604622019775,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.28581272,1709604622028342,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.36361758,1709604622035859,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.43476029,1709604622043218,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.51914408,1709604622051616,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.60650452,1709604622060387,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.67730793,1709604622067366,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.75685849,1709604622075322,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.82940774,1709604622082764,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.91583108,1709604622091227,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.100244532,1709604622099907,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.107545522,1709604622107302,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.115454200,1709604622115243,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.125221124,1709604622124854,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.131468627,1709604622131216,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
2024/03/05 02:10:22.140334994,1709604622140096,"[0.0, 0.0, -10.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1.5707900524139404,0.0
